,namespace,grade,Número de exercícios por turma
537,ceprimeiromundo,em 2a serie,15.666666666666666
538,objetivolorena,ef 7o ano,15.5
539,colegiouirapuru,ef 7o ano,15.2
540,mariliamattoso,em 2a serie,15.0
541,acessosjpinhais,ef 4o ano,15.0
542,colegioiguatemy,ef 3o ano,15.0
543,antoniomelo,ef 9o ano,15.0
544,integra,ef 2o ano,15.0
545,spdacruz,outro,15.0
546,ciadosaber,ef 9o ano,15.0
547,overabelcabral,ef 4o ano,15.0
548,colegiobrasilia,em 1a serie,14.428571428571429
549,rede,ef 9o ano,14.0
550,villalobos,ef 1o ano,14.0
551,qescola,outro,14.0
552,pioxi,em 2a serie,14.0
553,acessosantafelicidade,ef 6o ano,14.0
554,eccos,ef 7o ano,14.0
555,overjoaopessoa,em 2a serie,13.0
556,acessoalmirantetamandare,ef 8o ano,13.0
557,overmarciliofurtado,ef 9o ano,13.0
558,eacorcovado,ef 5o ano,13.0
559,overabelcabral,ef 8o ano,13.0
560,colegiouniverso,ef 7o ano,13.0
561,ceprimeiromundo,ef 4o ano,13.0
562,colegiosete,ef 2o ano,12.0
563,cem,ef 3o ano,12.0
564,arco,outro,12.0
565,redeinspira,outro,12.0
566,sasadapt,ef 1o ano,12.0
567,hamiltondarocha,ef 9o ano,11.666666666666666
568,ceprimeiromundo,ef 5o ano,11.5
569,overzonanorte,em 2a serie,11.0
570,aescobjetivo,em 2a serie,11.0
571,overmossoro,ef 8o ano,11.0
572,colegiojoaopaulo,ef 4o ano,11.0
573,nucleocriativo,ef 2o ano,11.0
574,portinari,ef 4o ano,11.0
575,gamt,outro,10.666666666666666
576,acessohauer,ef 5o ano,10.5
577,physicsalcindocacela,em 3a serie,10.0
578,ceespacolivre,em 1a serie,10.0
579,senhorbonfim,ef 8o ano,10.0
580,overzonanorte,ef 7o ano,10.0
581,colegiojoaopaulo,ef 6o ano,10.0
582,eldapereira,ef 4o ano,10.0
583,overzonanorte,ef 5o ano,10.0
584,contemporaneocidadeverde,ef 9o ano,10.0
585,colegioensitec,ef 2o ano,10.0
586,qescola,ef 6o ano,10.0
587,colegioguilhermedealmeida,outro,9.5
588,ceespacolivre,ef 7o ano,9.0
589,overpontanegra,ef 6o ano,9.0
590,colegiofuturageracao,ef 6o ano,9.0
591,senhorbonfim,ef 7o ano,9.0
592,acessosantafelicidade,ef 4o ano,9.0
593,colegiosete,ef 1o ano,9.0
594,acessosantafelicidade,ef 7o ano,8.0
595,overabelcabral,ef 9o ano,8.0
596,overmossoro,em 1a serie,8.0
597,hamiltondarocha,ef 8o ano,8.0
598,senhorbonfim,ef 6o ano,8.0
599,overpontanegra,em 2a serie,8.0
600,overmossoro,ef 6o ano,8.0
601,colegiobrasilia,infantil i,8.0
602,pioxi,outro,8.0
603,cursoisfera,outro,7.666666666666667
604,faculdadeflamingo,outro,7.666666666666667
605,ceprimeiromundo,ef 7o ano,7.333333333333333
606,integra,ef 5o ano,7.0
607,aescobjetivo,em 1a serie,7.0
608,objetivolorena,ef 6o ano,7.0
609,meta,outro,7.0
610,physicsaugustomontenegro,outro,7.0
611,colegiodasamericas,outro,7.0
612,universobarcarena,ef 9o ano,7.0
613,physicsaugustomontenegro,em 3a serie,7.0
614,escola,ef 4o ano,7.0
615,herciliovilanova,ef 2o ano,6.0
616,acessosantafelicidade,ef 3o ano,6.0
617,acessohauer,ef 3o ano,6.0
618,physicsconselheirofurtado,em 1a serie,6.0
619,overzonanorte,em 1a serie,6.0
620,overpontanegra,em 1a serie,6.0
621,colegiopremium,ef 4o ano,6.0
622,herciliovilanova,ef 1o ano,6.0
623,ceprimeiromundo,ef 6o ano,5.666666666666667
624,hamiltondarocha,ef 7o ano,5.5
625,acessohauer,ef 2o ano,5.0
626,acessosantafelicidade,ef 2o ano,5.0
627,eccos,outro,5.0
628,acessohauer,ef 4o ano,5.0
629,acessoalmirantetamandare,ef 4o ano,5.0
630,acessoalmirantetamandare,ef 2o ano,5.0
