,namespace,grade,Média de séries de exercícios por turma
431,eccos,ef 7o ano,6.75
432,francobrasileiro,em 3a serie,6.666666666666667
433,integradaeducativa,ef 7o ano,6.666666666666667
434,colegiodasamericas,ef 6o ano,6.666666666666667
435,santoamerico,em 1a serie,6.6
436,colegioeag,ef 1o ano,6.5
437,colegiodasamericas,ef 7o ano,6.5
438,colegioguilhermedealmeida,ef 1o ano,6.4
439,psantagema,ef 7o ano,6.4
440,colegiodasamericas,ef 2o ano,6.333333333333333
441,cursoenfase,outro,6.333333333333333
442,ceabb,ef 6o ano,6.0
443,colegioiguatemy,em 2a serie,6.0
444,colegiouniverso,outro,6.0
445,physicsalcindocacela,em 1a serie,6.0
446,eacorcovado,ef 9o ano,6.0
447,physicsalcindocacela,ef 9o ano,6.0
448,colegiobilac,ef 7o ano,6.0
449,colegiouirapuru,em 3a serie,6.0
450,colegiobilac,ef 4o ano,6.0
451,alpha,outro,6.0
452,colegiopremium,ef 7o ano,6.0
453,colegiojoaopaulo,ef 9o ano,6.0
454,colegiojoaopaulo,ef 8o ano,6.0
455,colegiocb,ef 4o ano,6.0
456,colegiodasamericas,ef 9o ano,6.0
457,overpontanegra,em 1a serie,6.0
458,nucleocriativo,em 1a serie,6.0
459,mariliamattoso,em 1a serie,6.0
460,colegioensitec,ef 8o ano,6.0
461,nucleocriativo,ef 9o ano,6.0
462,universobarcarena,ef 9o ano,6.0
463,nucleocriativo,ef 8o ano,6.0
464,nucleocriativo,ef 7o ano,6.0
465,stellamarisxaxim,em 3a serie,6.0
466,colegioguilhermedealmeida,ef 5o ano,6.0
467,nucleocriativo,ef 6o ano,6.0
468,colegiocb,ef 9o ano,6.0
469,navegasas,ef 5o ano,6.0
470,colegioensitec,ef 3o ano,6.0
471,psantagema,ef 6o ano,5.8
472,colegioguilhermedealmeida,ef 4o ano,5.666666666666667
473,physicsalmirantebarroso,em 3a serie,5.5
474,santoamerico,outro,5.416666666666667
475,ceprimeiromundo,ef 6o ano,5.333333333333333
476,colegiobrasilia,infantil i,5.333333333333333
477,objetivolorena,em 3a serie,5.0
478,colegiodasamericas,ef 5o ano,5.0
479,acessosantafelicidade,ef 8o ano,5.0
480,valdemiracoelho,ef 6o ano,5.0
481,portinari,ef 6o ano,5.0
482,positivoon,em 3a serie,5.0
483,arco,outro,5.0
484,colegioiguatemy,ef 9o ano,5.0
485,physicsaugustomontenegro,em 1a serie,5.0
486,cem,ef 3o ano,5.0
487,educamais,ef 6o ano,5.0
488,colegioguilhermedealmeida,ef 3o ano,5.0
489,integra,ef 1o ano,5.0
490,colegioeag,ef 6o ano,5.0
491,alpha,ef 2o ano,5.0
492,senhorbonfim,ef 9o ano,5.0
493,acessocampolargo,ef 8o ano,5.0
494,liessinbarra,ef 8o ano,5.0
495,colegiouniverso,ef 7o ano,5.0
496,acessohauer,ef 5o ano,4.5
497,colegiodasamericas,ef 8o ano,4.5
498,villalobos,ef 1o ano,4.5
499,moaciralves,ef 7o ano,4.333333333333333
500,progressaodc,outro,4.0
501,physicsumarizal,em 3a serie,4.0
502,stellamarisxaxim,ef 1o ano,4.0
503,colegiouniverso,ef 8o ano,4.0
504,qescola,ef 1o ano,4.0
505,colegioglobal,em 3a serie,4.0
506,qescola,ef 9o ano,4.0
507,santamariacn,em 3a serie,4.0
508,colegiopremium,ef 9o ano,4.0
509,colegiopremium,ef 8o ano,4.0
510,colegiopremium,ef 6o ano,4.0
511,hamiltondarocha,ef 8o ano,4.0
512,moaciralves,ef 9o ano,4.0
513,eacorcovado,outro,4.0
514,overjoaopessoa,em 2a serie,4.0
515,invictus,em 2a serie,4.0
516,joaorosa,ef 6o ano,4.0
517,joaorosa,ef 7o ano,4.0
518,ceespacolivre,em 2a serie,4.0
519,overzonanorte,outro,4.0
520,overzonanorte,em 3a serie,4.0
521,overpontanegra,em 2a serie,4.0
522,integra,ef 2o ano,4.0
523,physicsaugustomontenegro,em 2a serie,4.0
524,invictus,em 3a serie,4.0
525,overmarciliofurtado,ef 8o ano,4.0
526,antoniomelo,ef 7o ano,4.0
527,mariliamattoso,ef 8o ano,4.0
528,mariliamattoso,em 3a serie,4.0
529,hamiltondarocha,ef 9o ano,3.6666666666666665
530,spdacruz,em 1a serie,3.6666666666666665
531,moaciralves,ef 8o ano,3.5
532,ceprimeiromundo,em 2a serie,3.3333333333333335
533,acessohauer,ef 3o ano,3.0
534,spdacruz,ef 9o ano,3.0
535,universobarcarena,ef 8o ano,3.0
536,overpontanegra,ef 8o ano,3.0
537,senhorbonfim,ef 8o ano,3.0
538,ceprimeiromundo,em 1a serie,3.0
539,colegiouirapuru,ef 9o ano,3.0
540,colegiouirapuru,em 1a serie,3.0
541,objetivolorena,outro,3.0
542,overpontanegra,ef 7o ano,3.0
543,mariliamattoso,em 2a serie,3.0
544,acessosantafelicidade,ef 3o ano,3.0
545,colegiouniverso,em 1a serie,3.0
