,namespace,Semana,Número de AAs por turma
509,colsantacatarinape,37,2.3333333333333335
510,conexaosaber,25,5.636363636363637
511,conexaosaber,26,1.0
512,conexaosaber,33,1.5714285714285714
513,conexaosaber,34,1.2857142857142858
514,conexaosaber,35,1.3636363636363635
515,conexaosaber,37,1.9090909090909092
516,contemporaneo,31,2.5
517,contemporaneo,33,0.5
518,contemporaneocidadeverde,28,5.0
519,contemporaneocidadeverde,31,4.0
520,contemporaneocidadeverde,32,2.6923076923076925
521,contemporaneocidadeverde,33,3.857142857142857
522,contemporaneocidadeverde,34,0.16666666666666666
523,contemporaneocidadeverde,36,1.0
524,contemporaneocidadeverde,37,1.0
525,contemporaneolagoanova,30,0.6
526,contemporaneolagoanova,31,2.2142857142857144
527,contemporaneolagoanova,32,2.1333333333333333
528,contemporaneolagoanova,33,3.625
529,contemporaneolagoanova,34,0.2222222222222222
530,contemporaneolagoanova,36,0.5555555555555556
531,contemporaneolagoanova,37,0.5555555555555556
532,coopermundi,36,1.0
533,coopermundi,37,1.0
534,cotemig,37,1.0
535,cparaiso,32,1.0
536,cparaiso,34,1.0
537,crb,25,1.7407407407407407
538,crb,26,0.9310344827586207
539,crb,29,0.5
540,crb,31,2.372549019607843
541,crb,32,2.7523809523809524
542,crb,33,0.7692307692307693
543,crb,34,3.142857142857143
544,crb,35,0.8666666666666667
545,crb,36,1.4444444444444444
546,crb,37,1.1111111111111112
547,crescercampinas,25,1.6
548,crescercampinas,26,0.5
549,crescercampinas,30,0.3333333333333333
550,crescercampinas,31,0.6818181818181818
551,crescercampinas,32,2.2962962962962963
552,crescercampinas,33,3.0754716981132075
553,crescercampinas,34,0.8666666666666667
554,crescercampinas,35,1.7407407407407407
555,crescercampinas,36,2.466666666666667
556,crescercampinas,37,2.125
557,cursinhoeach,25,1.0
558,cursobase,25,1.0
559,cursobase,34,0.5
560,cursoenfase,25,0.5
561,cursoenfase,33,0.4
562,cursoenfase,34,0.4
