,namespace,Semana,Porcentagem de engajamento em AAs
736,isem,36,0.7925170068027211
922,physicsalmirantebarroso,34,0.7922077922077922
952,physicsconselheirofurtado,34,0.7919320594479831
1093,psantagema,36,0.7912087912087912
550,crescercampinas,32,0.7911965335278218
1231,villalobos,31,0.790743670886076
890,overpontanegra,29,0.7888888888888889
112,aescobjetivo,29,0.7854528819762122
848,overjoaopessoa,35,0.7838345864661654
263,colegioarena,34,0.77882797731569
742,jazzvestibular,37,0.7777777777777778
701,institutoeurofarma,37,0.775
767,mariliamattoso,25,0.7740040513166779
29,acessocampolargo,32,0.7737909516380655
321,colegiodasamericas,31,0.7737068965517241
138,apogeustoantonio2,28,0.7727272727272727
367,colegioensitec,34,0.7727272727272727
777,mariliamattoso,35,0.7720157987126974
751,macvest,36,0.7719298245614035
603,eacorcovado,25,0.7716049382716049
1021,porto,37,0.7706389720119697
981,pioxiicolegio,37,0.7661136138885837
764,maplebearslz,35,0.7659574468085106
1228,villalobos,26,0.7652232746955345
497,colegiouniverso,32,0.7640449438202247
942,physicscidadenova,33,0.7629077661864547
442,colegiomundial,29,0.7625
786,master,31,0.7618316021508967
801,montessori,37,0.7612903225806451
1170,spdacruz,36,0.7608825283243887
198,ceespacolivre,25,0.7608355091383812
660,escolamaster,25,0.7604906391220142
665,escolamaster,37,0.7567567567567568
114,aescobjetivo,31,0.7533525379954306
722,invictus,34,0.7530064754856615
212,cem,34,0.7505285412262156
703,institutosaojose,34,0.75
882,overmossoro,37,0.7488584474885844
725,invictus,37,0.7463579604578564
462,colegiopremium,26,0.7457827759692217
323,colegiodasamericas,34,0.7457044673539519
1210,universitariolondrina,32,0.7446375495980907
449,colegionovopatio,36,0.7439024390243902
924,physicsalmirantebarroso,36,0.7438992981778378
1035,prismapatrocinio,33,0.7429520560244209
1018,porto,34,0.7407835820895522
549,crescercampinas,31,0.7385430916552668
1029,prismapatrocinio,26,0.7383738373837384
612,eccos,32,0.7363957597173145
463,colegiopremium,31,0.7350993377483444
983,plannetataboao,28,0.7328706570916638
265,colegioarena,36,0.7318097014925373
692,insa,34,0.7312035448827902
768,mariliamattoso,26,0.7252021701300031
