,namespace,grade,numero_ex
348,colegiointegral,ef 7o ano,112.0
349,colegiointegral,ef 8o ano,125.66666666666667
350,colegiointegral,ef 9o ano,64.6
351,colegiointegral,em 1a serie,95.2
352,colegiointegral,em 2a serie,95.2
353,colegiointegral,em 3a serie,262.6666666666667
354,colegiointegral,outro,56.94117647058823
355,colegiojoaopaulo,ef 4o ano,47.666666666666664
356,colegiojoaopaulo,ef 5o ano,79.0
357,colegiojoaopaulo,ef 6o ano,92.0
358,colegiojoaopaulo,ef 7o ano,98.33333333333333
359,colegiojoaopaulo,ef 8o ano,111.0
360,colegiojoaopaulo,ef 9o ano,46.0
361,colegiojoaopaulo,em 1a serie,324.8
362,colegiojoaopaulo,em 2a serie,277.6
363,colegiojoaopaulo,em 3a serie,309.25
364,colegiojoaopaulo,outro,20.0
365,colegioliceu,em 1a serie,201.0
366,colegioliceu,em 2a serie,221.0
367,colegioliceu,em 3a serie,241.0
368,colegiomagnum,em 1a serie,186.0
369,colegiomagnum,em 2a serie,186.0
370,colegiomagnum,em 3a serie,186.0
371,colegiomundial,ef 6o ano,44.0
372,colegiomundial,ef 9o ano,52.0
373,colegiomundial,em 1a serie,52.0
374,colegiomundial,em 2a serie,78.0
375,colegiomundial,em 3a serie,78.0
376,colegionobre,ef 6o ano,1.0
377,colegionovageracao,ef 2o ano,10.0
378,colegionovageracao,ef 3o ano,10.0
379,colegionovageracao,ef 4o ano,20.0
380,colegionovageracao,ef 5o ano,30.0
381,colegionovageracao,ef 8o ano,14.0
382,colegionovageracao,ef 9o ano,14.0
383,colegionovageracao,em 1a serie,33.0
384,colegionovageracao,em 2a serie,34.0
385,colegionovageracao,em 3a serie,34.0
386,colegionovopatio,em 1a serie,31.0
387,colegioplanck,ef 6o ano,20.071428571428573
388,colegioplanck,ef 7o ano,16.916666666666668
389,colegioplanck,ef 8o ano,18.11764705882353
390,colegioplanck,ef 9o ano,18.4
391,colegioplanck,em 1a serie,31.870967741935484
392,colegioplanck,em 2a serie,30.291666666666668
393,colegioplanck,em 3a serie,60.357142857142854
394,colegioplanck,outro,50.0
395,colegiopremium,ef 1o ano,54.0
396,colegiopremium,ef 2o ano,60.0
397,colegiopremium,ef 3o ano,54.0
398,colegiopremium,ef 4o ano,54.0
399,colegiopremium,ef 5o ano,55.0
400,colegiopremium,ef 6o ano,122.0
401,colegiopremium,ef 7o ano,152.0
402,colegiopremium,ef 8o ano,88.33333333333333
403,colegiopremium,ef 9o ano,114.33333333333333
404,colegiopremium,em 1a serie,192.0
405,colegiopremium,em 2a serie,116.0
406,colegiopremium,em 3a serie,302.0
407,colegioser,outro,30.0
408,colegiosete,ef 1o ano,61.0
409,colegiosete,ef 2o ano,60.0
410,colegiosete,ef 3o ano,93.0
411,colegiosete,ef 4o ano,60.0
412,colegiosete,ef 5o ano,128.8
413,colegiosete,ef 6o ano,280.0
414,colegiosete,ef 7o ano,270.0
415,colegiosete,ef 8o ano,270.0
416,colegiosete,ef 9o ano,267.0
417,colegiosete,em 1a serie,400.0
418,colegiosete,em 2a serie,400.0
419,colegiosete,em 3a serie,400.0
420,colegiouirapuru,ef 3o ano,33.75
421,colegiouirapuru,ef 4o ano,85.0
422,colegiouirapuru,ef 5o ano,65.85714285714286
423,colegiouirapuru,ef 6o ano,16.0
424,colegiouirapuru,ef 7o ano,6.0
425,colegiouirapuru,ef 8o ano,13.5
426,colegiouirapuru,ef 9o ano,4.0
427,colegiouirapuru,em 1a serie,26.0
428,colegiouirapuru,em 2a serie,33.333333333333336
429,colegiouirapuru,em 3a serie,31.0
430,colegiouniverso,ef 6o ano,96.0
431,colegiouniverso,ef 7o ano,96.0
432,colegiouniverso,ef 8o ano,96.0
433,colegiouniverso,ef 9o ano,115.0
434,colegiouniverso,em 1a serie,290.0
435,colegiouniverso,em 2a serie,291.0
436,colegiouniverso,em 3a serie,312.0
437,colegioup,ef 6o ano,97.33333333333333
438,colegioup,ef 7o ano,104.33333333333333
439,colegioup,ef 8o ano,97.66666666666667
440,colegioup,ef 9o ano,147.66666666666666
441,colegioup,em 1a serie,199.66666666666666
442,colegioup,em 2a serie,181.33333333333334
443,colegioup,em 3a serie,222.0
444,colsantacatarinape,em 1a serie,88.0
445,colsantacatarinape,em 2a serie,88.0
446,colsantacatarinape,em 3a serie,85.0
447,conexaosaber,ef 1o ano,59.0
448,conexaosaber,ef 2o ano,51.0
449,conexaosaber,ef 3o ano,177.0
450,conexaosaber,ef 4o ano,61.0
451,conexaosaber,ef 5o ano,101.0
452,conexaosaber,ef 6o ano,90.0
453,conexaosaber,ef 7o ano,92.0
454,conexaosaber,ef 8o ano,91.0
455,conexaosaber,ef 9o ano,109.0
456,contemporaneo,em 3a serie,46.0
457,contemporaneocidadeverde,ef 3o ano,96.0
458,contemporaneocidadeverde,ef 5o ano,23.0
459,contemporaneocidadeverde,ef 6o ano,100.0
460,contemporaneocidadeverde,ef 7o ano,105.0
