,namespace,grade,Número de AAs por turma
283,colegioeducallis,ef 3o ano,1.8571428571428572
284,colegioeducallis,ef 4o ano,3.0
285,colegioeducallis,ef 5o ano,2.0
286,colegioeducallis,ef 6o ano,1.5
287,colegioeducallis,ef 7o ano,2.8461538461538463
288,colegioeducallis,ef 8o ano,2.727272727272727
289,colegioeducallis,ef 9o ano,2.2857142857142856
290,colegioeducallis,em 1a serie,1.05
291,colegioeducallis,em 2a serie,1.368421052631579
292,colegioeducallis,em 3a serie,1.625
293,colegioensitec,ef 2o ano,6.0
294,colegioensitec,ef 3o ano,6.0
295,colegioensitec,ef 4o ano,3.5
296,colegioensitec,ef 5o ano,4.0
297,colegioensitec,ef 6o ano,5.5
298,colegioensitec,ef 7o ano,7.333333333333333
299,colegioensitec,ef 8o ano,6.0
300,colegioensitec,ef 9o ano,8.5
301,colegioensitec,em 1a serie,9.5
302,colegioensitec,em 2a serie,7.333333333333333
303,colegioensitec,em 3a serie,1.5
304,colegioflamingo,em 1a serie,15.5
305,colegioflamingo,em 2a serie,15.0
306,colegioflamingo,em 3a serie,14.5
307,colegiofuturageracao,ef 3o ano,6.0
308,colegiofuturageracao,ef 4o ano,5.0
309,colegiofuturageracao,ef 5o ano,6.0
310,colegiofuturageracao,ef 6o ano,12.0
311,colegiofuturageracao,ef 7o ano,12.0
312,colegiofuturageracao,ef 8o ano,14.0
313,colegiofuturageracao,ef 9o ano,15.0
314,colegiofuturageracao,em 1a serie,1.0
315,colegioglobal,ef 2o ano,4.0
316,colegioglobal,ef 3o ano,5.25
317,colegioglobal,ef 4o ano,5.0
318,colegioglobal,ef 5o ano,6.666666666666667
319,colegioglobal,ef 6o ano,12.0
320,colegioglobal,ef 7o ano,10.0
321,colegioglobal,ef 8o ano,9.0
322,colegioglobal,ef 9o ano,4.0
323,colegioglobal,em 1a serie,17.0
324,colegioglobal,em 2a serie,18.0
325,colegioglobal,em 3a serie,16.0
326,colegioguilhermedealmeida,ef 6o ano,1.5
327,colegioguilhermedealmeida,ef 7o ano,3.0
328,colegioguilhermedealmeida,ef 8o ano,1.3333333333333333
329,colegioguilhermedealmeida,ef 9o ano,1.0
330,colegioguilhermedealmeida,em 1a serie,0.5
331,colegioguilhermedealmeida,em 2a serie,1.0
332,colegioguilhermedealmeida,em 3a serie,0.5
333,colegioiguatemy,ef 3o ano,14.0
334,colegioiguatemy,ef 4o ano,4.666666666666667
335,colegioiguatemy,ef 5o ano,12.0
336,colegioiguatemy,ef 6o ano,8.5
337,colegioiguatemy,ef 7o ano,7.0
338,colegioiguatemy,ef 8o ano,16.0
339,colegioiguatemy,ef 9o ano,15.0
340,colegioiguatemy,em 1a serie,7.333333333333333
341,colegioiguatemy,em 2a serie,6.25
342,colegioiguatemy,em 3a serie,7.25
343,colegiointegral,ef 2o ano,5.0
344,colegiointegral,ef 3o ano,5.0
345,colegiointegral,ef 4o ano,3.3333333333333335
346,colegiointegral,ef 5o ano,2.4
347,colegiointegral,ef 6o ano,2.6
348,colegiointegral,ef 7o ano,2.142857142857143
349,colegiointegral,ef 8o ano,2.3333333333333335
350,colegiointegral,ef 9o ano,1.7
351,colegiointegral,em 1a serie,2.4
352,colegiointegral,em 2a serie,2.4
353,colegiointegral,em 3a serie,6.833333333333333
354,colegiointegral,outro,3.176470588235294
355,colegiojoaopaulo,ef 4o ano,4.333333333333333
356,colegiojoaopaulo,ef 5o ano,6.5
357,colegiojoaopaulo,ef 6o ano,7.0
358,colegiojoaopaulo,ef 7o ano,6.666666666666667
359,colegiojoaopaulo,ef 8o ano,9.0
360,colegiojoaopaulo,ef 9o ano,4.0
361,colegiojoaopaulo,em 1a serie,8.4
362,colegiojoaopaulo,em 2a serie,7.0
363,colegiojoaopaulo,em 3a serie,5.25
364,colegiojoaopaulo,outro,1.0
365,colegioliceu,em 1a serie,1.5
366,colegioliceu,em 2a serie,1.5
367,colegioliceu,em 3a serie,1.5
368,colegiomagnum,em 1a serie,0.5
369,colegiomagnum,em 2a serie,0.5
370,colegiomagnum,em 3a serie,0.8
371,colegiomundial,ef 6o ano,1.0
372,colegiomundial,ef 9o ano,1.0
373,colegiomundial,em 1a serie,1.0
374,colegiomundial,em 2a serie,1.0
375,colegiomundial,em 3a serie,1.0
376,colegionobre,ef 6o ano,1.0
377,colegionovageracao,ef 2o ano,1.0
378,colegionovageracao,ef 3o ano,1.0
379,colegionovageracao,ef 4o ano,1.0
380,colegionovageracao,ef 5o ano,1.0
381,colegionovageracao,ef 8o ano,1.0
