,namespace,Semana,creation,Número de visualizações de relatórios de atividade avaliativa,user_id
184,colegiobatistaindependente,0,2021-10-02,1,17
185,colegiobetelbrasileirosp,0,2021-09-24,3,34
186,colegiobetelbrasileirosp,0,2021-09-27,30,34
187,colegiobilac,0,2021-09-24,73,18
188,colegiobilac,0,2021-09-25,31,18
189,colegiobilac,0,2021-09-26,33,18
190,colegiobilac,0,2021-09-27,12,18
191,colegiobilac,0,2021-09-28,11,18
192,colegiobilac,0,2021-09-29,1,18
193,colegiobilac,0,2021-09-30,26,18
194,colegiobilac,0,2021-10-01,15,18
195,colegiobrasilia,0,2021-09-24,250,58
196,colegiobrasilia,0,2021-09-25,56,58
197,colegiobrasilia,0,2021-09-26,98,58
198,colegiobrasilia,0,2021-09-27,495,58
199,colegiobrasilia,0,2021-09-28,485,58
200,colegiobrasilia,0,2021-09-29,417,58
201,colegiobrasilia,0,2021-09-30,486,58
202,colegiobrasilia,0,2021-10-01,436,58
203,colegiobrasilia,0,2021-10-02,41,58
204,colegiocb,0,2021-09-24,2,27
205,colegiocb,0,2021-09-26,8,27
206,colegiocb,0,2021-09-27,55,27
207,colegiocb,0,2021-09-28,59,27
208,colegiocb,0,2021-09-29,100,27
209,colegiocb,0,2021-09-30,51,27
210,colegiocb,0,2021-10-01,69,27
211,colegiocb,0,2021-10-02,37,27
212,colegiodasamericas,0,2021-09-24,52,55
213,colegiodasamericas,0,2021-09-25,43,55
214,colegiodasamericas,0,2021-09-26,25,55
215,colegiodasamericas,0,2021-09-27,47,55
216,colegiodasamericas,0,2021-09-28,21,55
217,colegiodasamericas,0,2021-09-29,10,55
218,colegiodasamericas,0,2021-09-30,9,55
219,colegiodasamericas,0,2021-10-01,4,55
220,colegioeag,0,2021-09-24,3,43
221,colegioeag,0,2021-09-29,1,43
222,colegioecursodesafio,0,2021-09-24,14,63
223,colegioecursodesafio,0,2021-09-25,14,63
224,colegioecursodesafio,0,2021-09-26,30,63
225,colegioecursodesafio,0,2021-09-27,21,63
226,colegioecursodesafio,0,2021-09-28,11,63
227,colegioecursodesafio,0,2021-09-29,14,63
228,colegioecursodesafio,0,2021-09-30,55,63
229,colegioecursodesafio,0,2021-10-01,136,63
230,colegioecursodesafio,0,2021-10-02,16,63
231,colegioecursoprogressao,0,2021-09-24,4,32
232,colegioecursoprogressao,0,2021-09-26,17,32
233,colegioecursoprogressao,0,2021-09-27,11,32
234,colegioecursoprogressao,0,2021-09-28,6,32
235,colegioecursoprogressao,0,2021-09-29,1,32
236,colegioecursoprogressao,0,2021-09-30,24,32
237,colegioecursoprogressao,0,2021-10-01,41,32
238,colegioecursoprogressao,0,2021-10-02,33,32
239,colegioeducallis,0,2021-09-24,206,91
240,colegioeducallis,0,2021-09-25,12,91
241,colegioeducallis,0,2021-09-26,76,91
242,colegioeducallis,0,2021-09-27,171,91
243,colegioeducallis,0,2021-09-28,58,91
244,colegioeducallis,0,2021-09-29,63,91
245,colegioeducallis,0,2021-09-30,70,91
246,colegioeducallis,0,2021-10-01,54,91
247,colegioeducallis,0,2021-10-02,7,91
248,colegioensitec,0,2021-09-24,31,34
249,colegioensitec,0,2021-09-25,26,34
250,colegioensitec,0,2021-09-26,11,34
251,colegioensitec,0,2021-09-27,38,34
252,colegioensitec,0,2021-09-28,43,34
253,colegioensitec,0,2021-09-29,36,34
254,colegioensitec,0,2021-09-30,19,34
255,colegioensitec,0,2021-10-01,30,34
256,colegioensitec,0,2021-10-02,36,34
257,colegiofera,0,2021-09-25,1,5
258,colegioflamingo,0,2021-09-24,83,12
259,colegioflamingo,0,2021-09-27,7,12
260,colegioflamingo,0,2021-09-28,18,12
261,colegioflamingo,0,2021-09-29,47,12
262,colegioflamingo,0,2021-09-30,30,12
263,colegioflamingo,0,2021-10-01,25,12
264,colegioflamingo,0,2021-10-02,53,12
265,colegiofuturageracao,0,2021-09-24,60,15
266,colegiofuturageracao,0,2021-09-26,13,15
267,colegiofuturageracao,0,2021-09-27,42,15
268,colegiofuturageracao,0,2021-09-28,50,15
269,colegiofuturageracao,0,2021-09-29,28,15
270,colegiofuturageracao,0,2021-09-30,84,15
271,colegiofuturageracao,0,2021-10-01,30,15
272,colegiofuturageracao,0,2021-10-02,5,15
273,colegioglobal,0,2021-09-24,95,32
274,colegioglobal,0,2021-09-25,20,32
275,colegioglobal,0,2021-09-26,42,32
276,colegioglobal,0,2021-09-27,55,32
277,colegioglobal,0,2021-09-28,14,32
278,colegioglobal,0,2021-09-29,32,32
279,colegioglobal,0,2021-09-30,18,32
280,colegioglobal,0,2021-10-01,4,32
281,colegioglobal,0,2021-10-02,4,32
282,colegioiguatemy,0,2021-09-24,25,32
283,colegioiguatemy,0,2021-09-25,11,32
284,colegioiguatemy,0,2021-09-26,7,32
285,colegioiguatemy,0,2021-09-27,25,32
286,colegioiguatemy,0,2021-09-28,25,32
287,colegioiguatemy,0,2021-09-29,12,32
288,colegioiguatemy,0,2021-09-30,52,32
289,colegioiguatemy,0,2021-10-01,6,32
290,colegiointegral,0,2021-09-24,5,106
291,colegiointegral,0,2021-09-25,7,106
292,colegiointegral,0,2021-09-26,7,106
293,colegiointegral,0,2021-09-27,16,106
294,colegiointegral,0,2021-09-28,13,106
295,colegiointegral,0,2021-09-29,44,106
296,colegiointegral,0,2021-09-30,54,106
297,colegiointegral,0,2021-10-01,74,106
298,colegiointegral,0,2021-10-02,16,106
299,colegiojoaopaulo,0,2021-09-24,10,72
300,colegiojoaopaulo,0,2021-09-25,4,72
301,colegiojoaopaulo,0,2021-09-26,2,72
302,colegiojoaopaulo,0,2021-09-27,63,72
303,colegiojoaopaulo,0,2021-09-28,28,72
304,colegiojoaopaulo,0,2021-09-29,50,72
305,colegiojoaopaulo,0,2021-09-30,74,72
306,colegiojoaopaulo,0,2021-10-01,33,72
307,colegiojoaopaulo,0,2021-10-02,4,72
308,colegionovageracao,0,2021-09-24,3,27
309,colegionovageracao,0,2021-09-25,1,27
310,colegionovageracao,0,2021-09-26,4,27
311,colegionovageracao,0,2021-09-27,22,27
312,colegionovageracao,0,2021-09-28,4,27
313,colegionovageracao,0,2021-09-29,11,27
314,colegionovageracao,0,2021-09-30,11,27
315,colegionovageracao,0,2021-10-01,8,27
316,colegioplanck,0,2021-09-26,3,31
317,colegioplanck,0,2021-09-27,8,31
318,colegioplanck,0,2021-09-29,2,31
319,colegioplanck,0,2021-10-01,13,31
320,colegioplanck,0,2021-10-02,5,31
321,colegiopremium,0,2021-09-27,5,48
322,colegiopremium,0,2021-09-28,28,48
323,colegiopremium,0,2021-09-29,15,48
324,colegiopremium,0,2021-09-30,13,48
325,colegiopremium,0,2021-10-01,1,48
326,colegiopremium,0,2021-10-02,2,48
327,colegiosete,0,2021-09-27,1,42
328,colegiosete,0,2021-09-29,2,42
329,colegiosete,0,2021-09-30,1,42
330,colegiosete,0,2021-10-01,23,42
331,colegiouirapuru,0,2021-09-24,68,72
332,colegiouirapuru,0,2021-09-25,39,72
333,colegiouirapuru,0,2021-09-26,9,72
334,colegiouirapuru,0,2021-09-27,167,72
335,colegiouirapuru,0,2021-09-28,167,72
336,colegiouirapuru,0,2021-09-29,343,72
337,colegiouirapuru,0,2021-09-30,224,72
338,colegiouirapuru,0,2021-10-01,106,72
339,colegiouirapuru,0,2021-10-02,20,72
340,colegiouniverso,0,2021-09-27,11,84
341,colegiouniverso,0,2021-09-28,32,84
342,colegiouniverso,0,2021-09-29,27,84
343,colegiouniverso,0,2021-09-30,17,84
344,colegiouniverso,0,2021-10-01,11,84
345,colegiouniverso,0,2021-10-02,4,84
346,colegioup,0,2021-09-24,57,48
347,colegioup,0,2021-09-25,37,48
348,colegioup,0,2021-09-26,51,48
349,colegioup,0,2021-09-27,101,48
350,colegioup,0,2021-09-28,134,48
351,colegioup,0,2021-09-29,163,48
352,colegioup,0,2021-09-30,102,48
353,colegioup,0,2021-10-01,66,48
354,colegioup,0,2021-10-02,95,48
355,colhemerlindacorreia,0,2021-09-25,10,4
356,colhemerlindacorreia,0,2021-09-26,18,4
357,colhemerlindacorreia,0,2021-09-27,9,4
358,colhemerlindacorreia,0,2021-09-28,1,4
359,colmariatereza,0,2021-09-26,6,7
360,colmariatereza,0,2021-09-27,11,7
361,colmariatereza,0,2021-09-28,6,7
362,colprimeiraclasse,0,2021-09-28,1,3
363,colprimeiraclasse,0,2021-09-29,11,3
364,conexaosaber,0,2021-09-24,71,31
365,conexaosaber,0,2021-09-25,5,31
366,conexaosaber,0,2021-09-26,76,31
367,conexaosaber,0,2021-09-27,128,31
368,conexaosaber,0,2021-09-28,117,31
369,conexaosaber,0,2021-09-29,80,31
370,conexaosaber,0,2021-09-30,95,31
371,conexaosaber,0,2021-10-01,89,31
372,conexaosaber,0,2021-10-02,20,31
373,contemporaneocidadeverde,0,2021-09-24,35,74
374,contemporaneocidadeverde,0,2021-09-26,1,74
375,contemporaneocidadeverde,0,2021-09-28,5,74
376,contemporaneocidadeverde,0,2021-09-29,16,74
377,contemporaneocidadeverde,0,2021-09-30,9,74
378,contemporaneocidadeverde,0,2021-10-02,3,74
379,contemporaneolagoanova,0,2021-09-24,1,79
380,contemporaneolagoanova,0,2021-09-26,2,79
381,contemporaneolagoanova,0,2021-09-27,4,79
382,contemporaneolagoanova,0,2021-09-28,8,79
383,contemporaneolagoanova,0,2021-09-29,15,79
384,contemporaneolagoanova,0,2021-09-30,11,79
385,contemporaneolagoanova,0,2021-10-01,4,79
386,contemporaneolagoanova,0,2021-10-02,3,79
387,coopermundi,0,2021-09-30,4,4
388,cotemig,0,2021-09-24,1,42
389,cotemig,0,2021-10-01,12,42
390,crescercampinas,0,2021-09-24,24,34
391,crescercampinas,0,2021-09-25,20,34
392,crescercampinas,0,2021-09-26,19,34
393,crescercampinas,0,2021-09-27,28,34
394,crescercampinas,0,2021-09-28,24,34
395,crescercampinas,0,2021-09-29,12,34
396,crescercampinas,0,2021-09-30,4,34
397,crescercampinas,0,2021-10-01,15,34
398,crescercampinas,0,2021-10-02,7,34
399,cursoisfera,0,2021-09-24,3,14
400,cursoisfera,0,2021-09-26,5,14
401,cursoisfera,0,2021-10-01,17,14
402,cursosazambuja,0,2021-09-29,8,25
403,cursosazambuja,0,2021-09-30,4,25
404,deltaeducacional,0,2021-09-26,4,24
405,deltaeducacional,0,2021-09-27,15,24
406,deltaeducacional,0,2021-09-28,23,24
407,deltaeducacional,0,2021-09-29,4,24
408,deltaeducacional,0,2021-09-30,16,24
409,deltaeducacional,0,2021-10-01,2,24
410,deltaeducacional,0,2021-10-02,2,24
411,diocesanocaruaru,0,2021-09-25,14,6
412,diocesanocaruaru,0,2021-09-27,4,6
413,diocesanocaruaru,0,2021-09-28,8,6
414,diocesanocaruaru,0,2021-09-29,3,6
415,diocesanocaruaru,0,2021-09-30,1,6
416,eacorcovado,0,2021-09-24,17,110
417,eacorcovado,0,2021-09-30,1,110
418,eccos,0,2021-09-24,7,46
419,eccos,0,2021-09-26,5,46
420,eccos,0,2021-09-27,23,46
421,eccos,0,2021-09-28,22,46
422,eccos,0,2021-09-29,20,46
423,eccos,0,2021-09-30,46,46
424,eccos,0,2021-10-01,9,46
425,eccos,0,2021-10-02,24,46
426,educamais,0,2021-09-30,14,2
427,educandarioterciocorreia,0,2021-09-24,329,12
428,educandarioterciocorreia,0,2021-09-25,6,12
429,educandarioterciocorreia,0,2021-09-26,11,12
430,educandarioterciocorreia,0,2021-09-27,305,12
431,educandarioterciocorreia,0,2021-09-28,184,12
432,educandarioterciocorreia,0,2021-09-29,269,12
433,educandarioterciocorreia,0,2021-09-30,74,12
434,educandarioterciocorreia,0,2021-10-01,200,12
435,educandarioterciocorreia,0,2021-10-02,74,12
436,einsteinassis,0,2021-09-27,1,25
437,einsteinassis,0,2021-09-28,3,25
438,einsteinassis,0,2021-09-29,1,25
439,einsteinassis,0,2021-09-30,3,25
440,einsteinassis,0,2021-10-01,1,25
441,elitecuritibaemilianoperneta,0,2021-09-26,7,42
442,elitecuritibaemilianoperneta,0,2021-09-27,23,42
443,elitecuritibaemilianoperneta,0,2021-09-28,5,42
444,elitecuritibaemilianoperneta,0,2021-09-29,11,42
445,elitecuritibaemilianoperneta,0,2021-09-30,6,42
446,elitecuritibaemilianoperneta,0,2021-10-01,4,42
447,elitecuritibaemilianoperneta,0,2021-10-02,4,42
448,eluneonline,0,2021-09-25,3,3
449,eluneonline,0,2021-09-27,10,3
450,equipe,0,2021-09-27,9,3
451,equipe,0,2021-09-29,2,3
452,escolaceciliameireles,0,2021-09-24,2,12
453,escolaceciliameireles,0,2021-09-25,8,12
454,escolaceciliameireles,0,2021-09-27,1,12
455,escolaceciliameireles,0,2021-09-28,2,12
456,escolaceciliameireles,0,2021-09-29,32,12
457,escolaceciliameireles,0,2021-09-30,2,12
458,escolaceciliameireles,0,2021-10-01,3,12
459,escolaceciliameireles,0,2021-10-02,1,12
460,escolamaster,0,2021-09-24,1,26
461,escolamaster,0,2021-09-28,2,26
462,escolamaster,0,2021-09-29,1,26
463,escolamaster,0,2021-09-30,10,26
464,faculdadeflamingo,0,2021-09-24,7,63
465,faculdadeflamingo,0,2021-09-27,10,63
466,faculdadeflamingo,0,2021-09-28,4,63
467,faculdadeflamingo,0,2021-09-29,7,63
468,faculdadeflamingo,0,2021-09-30,5,63
469,faculdadeflamingo,0,2021-10-01,7,63
470,faculdadeflamingo,0,2021-10-02,6,63
471,garra,0,2021-09-25,13,55
472,garra,0,2021-09-29,13,55
473,garra,0,2021-10-01,4,55
474,gerabixo,0,2021-09-30,12,58
475,gerabixo,0,2021-10-01,7,58
476,gerabixo,0,2021-10-02,9,58
477,insa,0,2021-09-30,9,15
478,institutoauxiliadoradf,0,2021-09-24,21,4
479,institutoauxiliadoradf,0,2021-09-26,11,4
480,institutocristao,0,2021-09-27,4,11
481,institutocristao,0,2021-10-01,6,11
482,institutoeurofarma,0,2021-09-25,2,1
483,institutoeurofarma,0,2021-09-28,1,1
484,integra,0,2021-09-24,295,32
485,integra,0,2021-09-25,92,32
486,integra,0,2021-09-26,8,32
487,integra,0,2021-09-27,389,32
488,integra,0,2021-09-28,447,32
489,integra,0,2021-09-29,273,32
490,integra,0,2021-09-30,400,32
491,integra,0,2021-10-01,10,32
492,integradaeducativa,0,2021-09-24,2,30
493,integradaeducativa,0,2021-09-27,2,30
494,integradaeducativa,0,2021-09-28,16,30
495,integradaeducativa,0,2021-09-29,5,30
496,integradaeducativa,0,2021-09-30,17,30
497,integradaeducativa,0,2021-10-01,10,30
498,integradaeducativa,0,2021-10-02,8,30
499,invictus,0,2021-09-24,85,18
500,invictus,0,2021-09-25,18,18
501,invictus,0,2021-09-26,38,18
502,invictus,0,2021-09-27,85,18
503,invictus,0,2021-09-28,32,18
504,invictus,0,2021-09-29,24,18
505,invictus,0,2021-09-30,25,18
506,invictus,0,2021-10-01,55,18
507,invictus,0,2021-10-02,1,18
508,isem,0,2021-09-24,60,37
509,isem,0,2021-09-25,30,37
510,isem,0,2021-09-26,6,37
511,isem,0,2021-09-27,98,37
512,isem,0,2021-09-28,15,37
513,isem,0,2021-09-29,73,37
514,isem,0,2021-09-30,67,37
515,isem,0,2021-10-01,40,37
516,isem,0,2021-10-02,5,37
517,ismart,0,2021-09-27,3,3
518,ismart,0,2021-09-28,1,3
519,ismart,0,2021-09-29,2,3
520,itamarati,0,2021-09-29,2,88
521,jardimsaopaulo,0,2021-09-27,2,11
522,jazzvestibular,0,2021-09-24,1,9
523,jazzvestibular,0,2021-09-27,5,9
524,jazzvestibular,0,2021-09-30,6,9
525,joaobelem,0,2021-09-30,4,20
526,joaobelem,0,2021-10-01,6,20
527,josepinheiro,0,2021-09-24,8,20
528,josepinheiro,0,2021-09-25,9,20
529,josepinheiro,0,2021-09-27,51,20
530,josepinheiro,0,2021-09-28,135,20
531,josepinheiro,0,2021-09-29,105,20
532,josepinheiro,0,2021-09-30,63,20
533,josepinheiro,0,2021-10-01,14,20
534,josepinheiro,0,2021-10-02,13,20
535,laboratoriosromildo,0,2021-10-01,3,2
536,lasalleaguasclaras,0,2021-09-24,11,4
537,litteratus,0,2021-09-28,6,24
538,macvest,0,2021-09-24,2,36
539,macvest,0,2021-09-27,1,36
540,macvest,0,2021-10-02,1,36
541,magister,0,2021-09-29,5,28
542,maplebearslz,0,2021-09-24,40,61
543,maplebearslz,0,2021-09-25,9,61
544,maplebearslz,0,2021-09-26,3,61
545,maplebearslz,0,2021-09-27,133,61
546,maplebearslz,0,2021-09-28,137,61
547,maplebearslz,0,2021-09-29,143,61
548,maplebearslz,0,2021-09-30,217,61
549,maplebearslz,0,2021-10-01,90,61
550,maplebearslz,0,2021-10-02,12,61
551,mariliamattoso,0,2021-09-24,50,62
552,mariliamattoso,0,2021-09-25,9,62
553,mariliamattoso,0,2021-09-26,53,62
554,mariliamattoso,0,2021-09-27,112,62
555,mariliamattoso,0,2021-09-28,75,62
556,mariliamattoso,0,2021-09-29,38,62
557,mariliamattoso,0,2021-09-30,11,62
558,mariliamattoso,0,2021-10-01,9,62
559,mariliamattoso,0,2021-10-02,2,62
560,moaciralves,0,2021-09-28,2,15
561,moaciralves,0,2021-09-29,13,15
562,murilorocha,0,2021-09-24,15,29
563,murilorocha,0,2021-09-28,5,29
564,murilorocha,0,2021-09-29,46,29
565,novotempo,0,2021-09-24,6,78
566,novotempo,0,2021-09-30,7,78
567,nucleocriativo,0,2021-09-29,9,17
568,nucleocriativo,0,2021-09-30,18,17
569,nucleocriativo,0,2021-10-01,13,17
570,objetivolorena,0,2021-09-24,490,64
571,objetivolorena,0,2021-09-25,43,64
572,objetivolorena,0,2021-09-26,28,64
573,objetivolorena,0,2021-09-27,83,64
574,objetivolorena,0,2021-09-28,63,64
575,objetivolorena,0,2021-09-29,16,64
576,objetivolorena,0,2021-09-30,12,64
577,objetivolorena,0,2021-10-01,24,64
578,overabelcabral,0,2021-09-24,94,74
579,overabelcabral,0,2021-09-25,56,74
580,overabelcabral,0,2021-09-26,192,74
581,overabelcabral,0,2021-09-27,111,74
582,overabelcabral,0,2021-09-28,89,74
583,overabelcabral,0,2021-09-29,74,74
584,overabelcabral,0,2021-09-30,38,74
585,overabelcabral,0,2021-10-01,43,74
586,overabelcabral,0,2021-10-02,5,74
587,overjoaopessoa,0,2021-09-24,3,31
588,overjoaopessoa,0,2021-09-25,9,31
589,overjoaopessoa,0,2021-09-26,11,31
590,overjoaopessoa,0,2021-09-27,30,31
591,overjoaopessoa,0,2021-09-28,30,31
