,namespace,Semana,creation,Número de visualizações de relatórios de lista,user_id
384,porto,0,2021-09-27,16,68
385,porto,0,2021-09-28,40,68
386,porto,0,2021-09-29,32,68
387,porto,0,2021-09-30,39,68
388,porto,0,2021-10-01,31,68
389,primeirodemaio,0,2021-09-24,4,40
390,primeirodemaio,0,2021-09-25,3,40
391,primeirodemaio,0,2021-09-27,1,40
392,primeirodemaio,0,2021-09-28,2,40
393,primeirodemaio,0,2021-09-30,2,40
394,primeirodemaio,0,2021-10-01,2,40
395,primeirodemaio,0,2021-10-02,6,40
396,progressaodc,0,2021-09-29,6,24
397,progressaoig,0,2021-09-29,2,27
398,progressaoig,0,2021-10-02,1,27
399,psantagema,0,2021-09-24,4,16
400,psantagema,0,2021-09-25,1,16
401,psantagema,0,2021-09-27,10,16
402,psantagema,0,2021-09-28,11,16
403,psantagema,0,2021-09-29,5,16
404,psantagema,0,2021-09-30,12,16
405,psantagema,0,2021-10-01,18,16
406,sagradafamilia,0,2021-09-24,6,20
407,sagradafamilia,0,2021-09-29,1,20
408,santadoroteia,0,2021-09-24,6,15
409,santadoroteia,0,2021-09-27,5,15
410,santadoroteia,0,2021-09-28,5,15
411,santadoroteia,0,2021-09-29,2,15
412,santadoroteia,0,2021-09-30,2,15
413,santadoroteia,0,2021-10-01,7,15
414,santoamerico,0,2021-09-24,82,109
415,santoamerico,0,2021-09-25,1,109
416,santoamerico,0,2021-09-26,13,109
417,santoamerico,0,2021-09-27,73,109
418,santoamerico,0,2021-09-28,46,109
419,santoamerico,0,2021-09-29,95,109
420,santoamerico,0,2021-09-30,43,109
421,santoamerico,0,2021-10-01,25,109
422,santoamerico,0,2021-10-02,2,109
423,sasadapt,0,2021-09-28,1,14
424,spdacruz,0,2021-09-24,12,31
425,spdacruz,0,2021-09-27,2,31
426,spdacruz,0,2021-09-28,16,31
427,spdacruz,0,2021-09-30,2,31
428,spdacruz,0,2021-10-01,12,31
429,stellamarisaguaverde,0,2021-09-24,6,39
430,stellamarisaguaverde,0,2021-09-25,14,39
431,stellamarisaguaverde,0,2021-09-26,2,39
432,stellamarisaguaverde,0,2021-09-27,17,39
433,stellamarisaguaverde,0,2021-09-29,2,39
434,stellamarisaguaverde,0,2021-09-30,31,39
435,stellamarisaguaverde,0,2021-10-01,4,39
436,stellamarisjuveve,0,2021-09-24,78,114
437,stellamarisjuveve,0,2021-09-25,10,114
438,stellamarisjuveve,0,2021-09-26,28,114
439,stellamarisjuveve,0,2021-09-27,297,114
440,stellamarisjuveve,0,2021-09-28,85,114
441,stellamarisjuveve,0,2021-09-29,46,114
442,stellamarisjuveve,0,2021-09-30,37,114
443,stellamarisjuveve,0,2021-10-01,57,114
444,stellamarisjuveve,0,2021-10-02,8,114
445,stellamarisxaxim,0,2021-09-24,34,49
446,stellamarisxaxim,0,2021-09-25,73,49
447,stellamarisxaxim,0,2021-09-26,45,49
448,stellamarisxaxim,0,2021-09-27,100,49
449,stellamarisxaxim,0,2021-09-28,83,49
450,stellamarisxaxim,0,2021-09-29,41,49
451,stellamarisxaxim,0,2021-09-30,21,49
452,stellamarisxaxim,0,2021-10-01,5,49
453,stellamarisxaxim,0,2021-10-02,5,49
454,universitariolondrina,0,2021-09-24,41,119
455,universitariolondrina,0,2021-09-25,15,119
456,universitariolondrina,0,2021-09-26,10,119
457,universitariolondrina,0,2021-09-27,62,119
458,universitariolondrina,0,2021-09-28,94,119
459,universitariolondrina,0,2021-09-29,84,119
460,universitariolondrina,0,2021-09-30,53,119
461,universitariolondrina,0,2021-10-01,93,119
462,universitariolondrina,0,2021-10-02,20,119
463,universobarcarena,0,2021-09-24,26,56
464,universobarcarena,0,2021-09-25,18,56
465,universobarcarena,0,2021-09-26,4,56
466,universobarcarena,0,2021-09-27,1,56
467,universobarcarena,0,2021-09-28,1,56
468,universobarcarena,0,2021-09-29,4,56
469,valdemiracoelho,0,2021-09-27,10,30
470,valdemiracoelho,0,2021-09-28,5,30
471,valdemiracoelho,0,2021-09-29,8,30
472,valdemiracoelho,0,2021-09-30,1,30
473,villalobos,0,2021-09-24,25,65
474,villalobos,0,2021-09-25,17,65
475,villalobos,0,2021-09-26,25,65
476,villalobos,0,2021-09-27,37,65
477,villalobos,0,2021-09-28,71,65
478,villalobos,0,2021-09-29,43,65
479,villalobos,0,2021-09-30,30,65
480,villalobos,0,2021-10-01,20,65
481,villalobos,0,2021-10-02,5,65
