,namespace,Semana,creation,Número de AAs criadas,user_id
336,porto,0,2021-09-29,1,68
337,porto,0,2021-09-30,7,68
338,porto,0,2021-10-01,9,68
339,prismapatrocinio,0,2021-09-24,11,48
340,prismapatrocinio,0,2021-09-25,4,48
341,prismapatrocinio,0,2021-09-26,6,48
342,prismapatrocinio,0,2021-09-27,4,48
343,prismapatrocinio,0,2021-09-28,11,48
344,prismapatrocinio,0,2021-09-29,6,48
345,prismapatrocinio,0,2021-09-30,10,48
346,prismapatrocinio,0,2021-10-01,5,48
347,profederal,0,2021-09-27,5,24
348,profederal,0,2021-09-28,1,24
349,progressaodc,0,2021-09-24,4,24
350,progressaodc,0,2021-09-26,3,24
351,progressaodc,0,2021-09-27,6,24
352,progressaodc,0,2021-09-28,3,24
353,progressaodc,0,2021-09-29,1,24
354,progressaodc,0,2021-09-30,8,24
355,progressaodc,0,2021-10-01,5,24
356,progressaodc,0,2021-10-02,3,24
357,progressaoig,0,2021-09-24,4,27
358,progressaoig,0,2021-09-26,15,27
359,progressaoig,0,2021-09-27,8,27
360,progressaoig,0,2021-09-28,5,27
361,progressaoig,0,2021-09-29,8,27
362,progressaoig,0,2021-09-30,3,27
363,progressaoig,0,2021-10-01,1,27
364,progressaoig,0,2021-10-02,5,27
365,provaspoliedro,0,2021-09-25,3,255
366,provaspoliedro,0,2021-09-26,3,255
367,provaspoliedro,0,2021-09-27,2,255
368,provaspoliedro,0,2021-09-28,5,255
369,provaspoliedro,0,2021-09-29,3,255
370,provaspoliedro,0,2021-09-30,2,255
371,provaspoliedro,0,2021-10-02,2,255
372,psantagema,0,2021-09-28,1,16
373,qescola,0,2021-09-29,26,439
374,santamariacn,0,2021-09-28,1,21
375,santoamerico,0,2021-09-24,17,109
376,santoamerico,0,2021-09-25,1,109
377,santoamerico,0,2021-09-27,3,109
378,santoamerico,0,2021-09-30,4,109
379,santoamerico,0,2021-10-01,1,109
380,senhorbonfim,0,2021-09-28,4,18
381,spdacruz,0,2021-09-24,3,31
382,spdacruz,0,2021-09-28,2,31
383,spdacruz,0,2021-09-29,1,31
384,stellamarisaguaverde,0,2021-09-29,1,39
385,testecoc,0,2021-10-01,1,1
386,universitariolondrina,0,2021-09-24,11,119
387,universitariolondrina,0,2021-09-25,10,119
388,universitariolondrina,0,2021-09-26,5,119
389,universitariolondrina,0,2021-09-27,10,119
390,universitariolondrina,0,2021-09-28,5,119
391,universitariolondrina,0,2021-09-29,6,119
392,universitariolondrina,0,2021-09-30,5,119
393,universitariolondrina,0,2021-10-01,12,119
394,universitariolondrina,0,2021-10-02,5,119
395,universobarcarena,0,2021-09-24,17,56
396,universobarcarena,0,2021-09-25,3,56
397,universobarcarena,0,2021-09-26,16,56
398,universobarcarena,0,2021-09-27,19,56
399,universobarcarena,0,2021-09-28,14,56
400,universobarcarena,0,2021-09-29,7,56
401,universobarcarena,0,2021-09-30,1,56
402,villalobos,0,2021-09-24,4,65
403,villalobos,0,2021-09-25,2,65
404,villalobos,0,2021-09-26,3,65
405,villalobos,0,2021-09-27,7,65
406,villalobos,0,2021-09-28,10,65
407,villalobos,0,2021-09-29,1,65
408,villalobos,0,2021-09-30,3,65
409,villalobos,0,2021-10-01,1,65
