,namespace,Semana,Porcentagem de engajamento em série de exercícios
260,colegiocb,35,0.21083890126206384
588,macvest,24,0.21052631578947367
507,gamt,25,0.2092911877394636
825,psantagema,31,0.20905553590378492
81,acessosantafelicidade,29,0.2090045435770343
450,eccos,24,0.20884761090064768
79,acessosantafelicidade,26,0.20884270578647107
811,progressaodc,34,0.2087912087912088
459,eccos,36,0.20834611844123965
458,eccos,35,0.20743715988598083
133,amadeus,32,0.2071849995958943
376,colegiojoaopaulo,31,0.2039415130324221
197,ceespacolivre,26,0.20333333333333334
865,senhorbonfim,35,0.20238095238095238
236,colegiobilac,35,0.20229405630865485
452,eccos,26,0.20229168421939506
768,portinari,30,0.2022233262948702
323,colegioflamingo,25,0.20132863340563992
402,colegiouirapuru,28,0.2008519003931848
864,senhorbonfim,34,0.2
718,physicsbatistacampos,31,0.19991763252338648
446,eacorcovado,34,0.19912234509390908
257,colegiocb,32,0.19899002044006253
612,moaciralves,31,0.19878141660319879
656,overmarciliofurtado,33,0.19829842931937172
650,overmarciliofurtado,24,0.19767441860465115
625,nucleocriativo,36,0.19741100323624594
371,colegiojoaopaulo,24,0.19692005242463959
716,physicsbatistacampos,25,0.19643716899374097
239,colegiobrasilia,25,0.19629962167430223
602,mariliamattoso,30,0.19627234689996195
324,colegioflamingo,26,0.19556229327453142
438,eacorcovado,24,0.19514674120188033
605,mariliamattoso,33,0.19367588932806323
594,macvest,31,0.19243697478991598
635,overabelcabral,26,0.19230769230769232
704,physicsalmirantebarroso,37,0.19150818222025653
142,antoniomelo,33,0.19136191677175285
595,macvest,32,0.19073869900771775
900,stellamarisxaxim,26,0.19027093596059114
829,psantagema,35,0.19009826152683296
456,eccos,33,0.18870875995449374
330,colegioflamingo,36,0.18860164512338426
19,acessoalmirantetamandare,37,0.18831168831168832
7,abiliomartins,34,0.1875
745,physicsmacapa,34,0.18716577540106952
401,colegiouirapuru,25,0.18606060606060607
294,colegioecursodesafio,37,0.1860019175455417
213,ceprimeiromundo,24,0.18556701030927836
824,psantagema,30,0.18548387096774194
601,mariliamattoso,25,0.18518518518518517
849,santoamerico,25,0.18381548861715877
590,macvest,26,0.1837270341207349
638,overabelcabral,30,0.1834647969617295
886,stellamarisjuveve,24,0.1833806897320185
135,amadeus,34,0.18331045274050456
769,portinari,31,0.18245512449334106
261,colegiocb,36,0.1819028271542238
743,physicsmacapa,32,0.18159420289855072
443,eacorcovado,31,0.18154874990500797
618,mocinhagomes,36,0.1794871794871795
454,eccos,31,0.17912457912457913
360,colegiointegral,27,0.1786395290996518
930,universobarcarena,34,0.1780821917808219
844,santamariacn,31,0.17719298245614035
765,portinari,27,0.17677389915582933
212,cem,37,0.17674418604651163
299,colegioecursoprogressao,28,0.17667910447761195
301,colegioecursoprogressao,30,0.1766355140186916
613,moaciralves,32,0.17654171704957677
820,progressaoig,34,0.1755424063116371
910,stellamarisxaxim,36,0.17439372325249644
444,eacorcovado,32,0.17405499862043594
793,profederal,28,0.17355371900826447
297,colegioecursoprogressao,26,0.17344441104478894
271,colegiodasamericas,35,0.17317135116830343
830,psantagema,36,0.17248062015503876
292,colegioecursodesafio,35,0.17222771461525788
852,santoamerico,30,0.1718384033048232
733,physicscidadenova,36,0.17164426746308278
875,stellamarisaguaverde,24,0.17106283941039566
912,universitariolondrina,24,0.17042533302173404
807,progressaodc,30,0.17032967032967034
771,portinari,33,0.17022955045443436
361,colegiointegral,28,0.16987579085684132
483,elitecuritibaemilianoperneta,26,0.16966067864271456
